,Log,CleanLog,Cluster,Template,Variables,EventId
0,LDAP: Built with OpenLDAP LDAP SDK,LDAP Built with OpenLDAP LDAP SDK,0,LDAP: Built with OpenLDAP LDAP SDK,[],E20
1,LDAP: SSL support unavailable,LDAP SSL support unavailable,1,LDAP: SSL support unavailable,[],E23
2,suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),suEXEC mechanism enabled wrapper usr sbin suexec,2,suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),[],E18
3,Digest: generating secret for digest authentication ...,Digest generating secret for digest authentication,3,Digest: generating secret for digest authentication ...,[],E4
4,Digest: done,Digest done,4,Digest: done,[],E29
5,LDAP: Built with OpenLDAP LDAP SDK,LDAP Built with OpenLDAP LDAP SDK,0,LDAP: Built with OpenLDAP LDAP SDK,[],E20
6,LDAP: SSL support unavailable,LDAP SSL support unavailable,1,LDAP: SSL support unavailable,[],E23
7,"env.createBean2(): Factory error creating channel.jni:jni ( channel.jni, jni)",env Factory error creating channel jni jni channel jni jni,5,"env.<*>(): Factory error creating channel.jni:jni ( channel.jni, jni)",['createBean2'],E10
8,config.update(): Can't create channel.jni:jni,config update Can t create channel jni jni,6,config.update(): Can't create channel.jni:jni,[],E21
9,"env.createBean2(): Factory error creating vm: ( vm, )",env Factory error creating vm vm,7,"env.<*>(): Factory error creating vm: ( vm, )",['createBean2'],E10
10,config.update(): Can't create vm:,config update Can t create vm,8,config.update(): Can't create vm:,[],E21
11,"env.createBean2(): Factory error creating worker.jni:onStartup ( worker.jni, onStartup)",env Factory error creating worker jni onStartup worker jni onStartup,9,"env.<*>(): Factory error creating worker.jni:onStartup ( worker.jni, onStartup)",['createBean2'],E10
12,config.update(): Can't create worker.jni:onStartup,config update Can t create worker jni onStartup,10,config.update(): Can't create worker.jni:onStartup,[],E21
13,"env.createBean2(): Factory error creating worker.jni:onShutdown ( worker.jni, onShutdown)",env Factory error creating worker jni onShutdown worker jni onShutdown,11,"env.<*>(): Factory error creating worker.jni:onShutdown ( worker.jni, onShutdown)",['createBean2'],E10
14,config.update(): Can't create worker.jni:onShutdown,config update Can t create worker jni onShutdown,12,config.update(): Can't create worker.jni:onShutdown,[],E21
15,mod_python: Creating 32 session mutexes based on 150 max processes and 0 max threads.,Creating session mutexes based on max processes and max threads,13,mod_python: Creating <*> session mutexes based on <*> max processes and <*> max threads.,"['32', '150', '0']",E2
16,mod_security/1.9dev2 configured,configured,14,mod_security/<*>.<*> configured,"['1', '9dev2']",E25
17,Apache/2.0.49 (Fedora) configured -- resuming normal operations,Apache Fedora configured resuming normal operations,15,Apache/<*>.<*>.<*> (Fedora) configured -- resuming normal operations,"['2', '0', '49']",E8
18,jk2_init() Found child 2330 in scoreboard slot 0,Found child in scoreboard slot,16,<*>() Found child <*> in scoreboard slot <*>,"['jk2_init', '2330', '0']",E15
19,jk2_init() Found child 2337 in scoreboard slot 7,Found child in scoreboard slot,16,<*>() Found child <*> in scoreboard slot <*>,"['jk2_init', '2337', '7']",E15
20,jk2_init() Found child 2332 in scoreboard slot 2,Found child in scoreboard slot,16,<*>() Found child <*> in scoreboard slot <*>,"['jk2_init', '2332', '2']",E15
21,jk2_init() Found child 2331 in scoreboard slot 1,Found child in scoreboard slot,16,<*>() Found child <*> in scoreboard slot <*>,"['jk2_init', '2331', '1']",E15
22,jk2_init() Found child 2333 in scoreboard slot 3,Found child in scoreboard slot,16,<*>() Found child <*> in scoreboard slot <*>,"['jk2_init', '2333', '3']",E15
23,jk2_init() Found child 2335 in scoreboard slot 5,Found child in scoreboard slot,16,<*>() Found child <*> in scoreboard slot <*>,"['jk2_init', '2335', '5']",E15
24,jk2_init() Found child 2334 in scoreboard slot 4,Found child in scoreboard slot,16,<*>() Found child <*> in scoreboard slot <*>,"['jk2_init', '2334', '4']",E15
25,jk2_init() Found child 2336 in scoreboard slot 6,Found child in scoreboard slot,16,<*>() Found child <*> in scoreboard slot <*>,"['jk2_init', '2336', '6']",E15
26,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv init ok etc httpd conf properties,17,workerEnv.init() ok /etc/httpd/conf/<*>.properties,['workers2'],E27
27,mod_jk child init 1 0,child init,18,mod_jk child init <*> <*>,"['1', '0']",E28
28,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv init ok etc httpd conf properties,17,workerEnv.init() ok /etc/httpd/conf/<*>.properties,['workers2'],E27
29,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv init ok etc httpd conf properties,17,workerEnv.init() ok /etc/httpd/conf/<*>.properties,['workers2'],E27
30,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv init ok etc httpd conf properties,17,workerEnv.init() ok /etc/httpd/conf/<*>.properties,['workers2'],E27
31,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv init ok etc httpd conf properties,17,workerEnv.init() ok /etc/httpd/conf/<*>.properties,['workers2'],E27
32,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv init ok etc httpd conf properties,17,workerEnv.init() ok /etc/httpd/conf/<*>.properties,['workers2'],E27
