,Log,CleanLog,Cluster,Template,Variables,EventId
0,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",proxy cse cuhk edu hk close bytes sent bytes received lifetime sec,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <<*> sec","['5070', '0', '0', '1']",E9
1,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",proxy cse cuhk edu hk close bytes sent bytes received lifetime sec,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <<*> sec","['5070', '0', '0', '1']",E9
2,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",proxy cse cuhk edu hk close bytes sent bytes received lifetime sec,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <<*> sec","['5070', '0', '0', '1']",E9
3,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",proxy cse cuhk edu hk close bytes sent bytes received lifetime sec,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <<*> sec","['5070', '0', '0', '1']",E9
4,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",proxy cse cuhk edu hk close bytes sent bytes received lifetime sec,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <<*> sec","['5070', '0', '0', '1']",E9
5,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",proxy cse cuhk edu hk close bytes sent bytes received lifetime sec,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <<*> sec","['5070', '0', '0', '1']",E9
6,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",proxy cse cuhk edu hk close bytes sent bytes received lifetime sec,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <<*> sec","['5070', '0', '0', '1']",E9
7,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",proxy cse cuhk edu hk close bytes sent bytes received lifetime sec,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <<*> sec","['5070', '0', '0', '1']",E9
8,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",proxy cse cuhk edu hk close bytes sent bytes received lifetime sec,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <<*> sec","['5070', '0', '0', '1']",E9
9,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",proxy cse cuhk edu hk close bytes sent bytes received lifetime sec,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <<*> sec","['5070', '0', '0', '1']",E9
10,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",proxy cse cuhk edu hk close bytes sent bytes received lifetime sec,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <<*> sec","['5070', '0', '0', '1']",E9
11,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",proxy cse cuhk edu hk close bytes sent bytes received lifetime sec,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <<*> sec","['5070', '0', '0', '1']",E9
