,Log,CleanLog,Cluster,Template,Variables,EventId
0,Reading configuration from: /etc/zookeeper/conf/zoo.cfg,Reading configuration from etc zookeeper conf zoo cfg,0,Reading configuration from: /etc/zookeeper/conf/zoo.cfg,[],E57
1,Defaulting to majority quorums,Defaulting to majority quorums,1,Defaulting to majority quorums,[],E46
2,autopurge.snapRetainCount set to 3,autopurge snapRetainCount set to,2,autopurge.snapRetainCount set to <*>,['3'],E35
3,autopurge.purgeInterval set to 0,autopurge purgeInterval set to,3,autopurge.purgeInterval set to <*>,['0'],E44
4,Purge task is not scheduled.,Purge task is not scheduled,4,Purge task is not scheduled.,[],E60
5,Starting quorum peer,Starting quorum peer,5,Starting quorum peer,[],E71
6,binding to port 0.0.0.0/0.0.0.0:2181,binding to port,6,binding to port <*>.<*>.<*>.<*>/<*>.<*>.<*>.<*>:<*>,"['0', '0', '0', '0', '0', '0', '0', '0', '2181']",E80
7,tickTime set to 2000,tickTime set to,7,tickTime set to <*>,['2000'],E81
8,minSessionTimeout set to -1,minSessionTimeout set to,8,minSessionTimeout set to -<*>,['1'],E65
9,maxSessionTimeout set to -1,maxSessionTimeout set to,9,maxSessionTimeout set to -<*>,['1'],E63
10,initLimit set to 10,initLimit set to,10,initLimit set to <*>,['10'],E79
11,currentEpoch not found! Creating with a reasonable default of 0. This should only happen when you are upgrading your installation,currentEpoch not found Creating with a reasonable default of This should only happen when you are upgrading your installation,11,<*> not found! Creating with a reasonable default of <*>. This should only happen when you are upgrading your installation,"['currentEpoch', '0']",E3
12,acceptedEpoch not found! Creating with a reasonable default of 0. This should only happen when you are upgrading your installation,acceptedEpoch not found Creating with a reasonable default of This should only happen when you are upgrading your installation,11,<*> not found! Creating with a reasonable default of <*>. This should only happen when you are upgrading your installation,"['acceptedEpoch', '0']",E2
13,My election bind port: 0.0.0.0/0.0.0.0:3888,My election bind port,12,My election bind port: <*>.<*>.<*>.<*>/<*>.<*>.<*>.<*>:<*>,"['0', '0', '0', '0', '0', '0', '0', '0', '3888']",E68
14,LOOKING,LOOKING,13,LOOKING,[],E87
15,"New election. My id = 1, proposed zxid=0x0",New election My id proposed zxid,14,"New election. My id = <*>, proposed zxid=<*>","['1', '0x0']",E55
16,"Notification: 1 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 1 (n.sid), 0x0 (n.peerEPoch), LOOKING (my state)",Notification n leader n zxid n round LOOKING n state n sid n peerEPoch LOOKING my state,15,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), LOOKING (my state)","['1', '0x0', '0x1', '1', '0x0']",E4
17,Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to at election address,16,Cannot open channel to <*> at election address /<*>.<*>.<*>.<*>:<*>,"['2', '10', '10', '34', '12', '3888']",E24
18,Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to at election address,16,Cannot open channel to <*> at election address /<*>.<*>.<*>.<*>:<*>,"['3', '10', '10', '34', '13', '3888']",E24
19,Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to at election address,16,Cannot open channel to <*> at election address /<*>.<*>.<*>.<*>:<*>,"['2', '10', '10', '34', '12', '3888']",E24
20,Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to at election address,16,Cannot open channel to <*> at election address /<*>.<*>.<*>.<*>:<*>,"['3', '10', '10', '34', '13', '3888']",E24
21,Notification time out: 400,Notification time out,17,Notification time out: <*>,['400'],E67
22,Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to at election address,16,Cannot open channel to <*> at election address /<*>.<*>.<*>.<*>:<*>,"['2', '10', '10', '34', '12', '3888']",E24
23,Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to at election address,16,Cannot open channel to <*> at election address /<*>.<*>.<*>.<*>:<*>,"['3', '10', '10', '34', '13', '3888']",E24
24,Notification time out: 800,Notification time out,17,Notification time out: <*>,['800'],E67
25,Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to at election address,16,Cannot open channel to <*> at election address /<*>.<*>.<*>.<*>:<*>,"['2', '10', '10', '34', '12', '3888']",E24
26,Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to at election address,16,Cannot open channel to <*> at election address /<*>.<*>.<*>.<*>:<*>,"['3', '10', '10', '34', '13', '3888']",E24
27,Notification time out: 1600,Notification time out,17,Notification time out: <*>,['1600'],E67
28,Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to at election address,16,Cannot open channel to <*> at election address /<*>.<*>.<*>.<*>:<*>,"['2', '10', '10', '34', '12', '3888']",E24
29,Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to at election address,16,Cannot open channel to <*> at election address /<*>.<*>.<*>.<*>:<*>,"['3', '10', '10', '34', '13', '3888']",E24
30,Notification time out: 3200,Notification time out,17,Notification time out: <*>,['3200'],E67
31,Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to at election address,16,Cannot open channel to <*> at election address /<*>.<*>.<*>.<*>:<*>,"['2', '10', '10', '34', '12', '3888']",E24
32,Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to at election address,16,Cannot open channel to <*> at election address /<*>.<*>.<*>.<*>:<*>,"['3', '10', '10', '34', '13', '3888']",E24
